order_id,order_date,customer_id,product_category,region,quantity,unit_price,discount,payment_method,delivery_days,customer_rating,revenue
38349,2024-08-29,5d8720de-2f63-46e7-a7a9-ba993a6664d1,Automotive,North America,1,251.96,0.05,CreditCard,1.0,3.3,239.36
17371,2025-09-30,816d6a1a-545b-4bc0-952b-4799b849acf1,Beauty,Oceania,2,109.26,0.1,Cash,2.0,3.4,196.67
66285,2023-10-30,8734beb2-4489-4845-b83b-f59c93105e39,Fashion,Europe,4,22.18,0.0,PayPal,2.0,4.9,88.72
86967,2023-09-07,ace86d3e-b3c4-4faf-8436-4a94f3d3030f,Electronics,South America,2,126.88,0.0,PayPal,9.0,3.5,253.76
52858,2025-08-16,37f0a0c2-1955-4818-9d24-c5df92f50f76,Fashion,Africa,3,262.59,0.15,BankTransfer,3.0,3.8,669.6
59923,2024-01-27,b77909d9-b4fe-42a3-98be-e7af3cadbcb2,Sports,Asia,1,250.87,0.05,PayPal,5.0,4.6,238.33
78044,2025-08-17,36088cd0-7815-423c-a34d-c342539c1573,Home,North America,2,370.82,0.1,PayPal,2.0,3.2,667.48
56580,2025-03-01,45a9ef25-3fe4-4fdf-9859-1cac1b5eb485,Fashion,Oceania,2,93.83,0.1,PayPal,4.0,4.2,168.89
72859,2025-12-12,42792f10-f378-4b96-91c6-a31365513219,Toys,South America,2,292.28,0.0,CreditCard,3.0,4.9,584.56
54569,2023-08-20,de55aafd-4a61-4c0b-b0a6-0c6bc565b841,Beauty,South America,4,322.67,0.1,PayPal,6.0,3.5,1161.61
12163,2024-12-22,6d8363da-7419-4b05-afa1-ea72999c35a0,Beauty,Africa,5,215.86,0.05,CreditCard,7.0,2.7,1025.34
70757,2023-03-09,dbf6145e-a86b-4a66-8d8f-309c8de73ae8,Fashion,South America,3,163.19,0.0,CreditCard,8.0,5.0,489.57
46129,2025-02-13,c2cb0dc5-3ec9-4e84-8dd6-cc77067b7dc9,Home,Asia,2,395.13,0.0,Cash,8.0,4.6,790.26
47721,2025-09-12,12898417-6a92-40fe-afab-246060cf791b,Fashion,Asia,4,349.81,0.1,PayPal,8.0,2.1,1259.32
9188,2024-08-24,8b41bcd9-3182-4fde-962f-62e88a0bb8e4,Toys,Asia,2,276.91,0.0,PayPal,6.0,4.2,553.82
80458,2024-08-17,c35654d8-e175-4717-8d8f-5d33626a3ca6,Beauty,Europe,1,60.08,0.0,BankTransfer,2.0,4.9,60.08
35742,2025-04-11,813f5d12-ae59-4144-962a-c83a376138ca,Home,Asia,4,6.95,0.1,Cash,4.0,2.2,25.02
98073,2023-06-05,44e2826b-6ee6-4184-927f-e33cc51a9744,Fashion,Africa,2,120.12,0.0,PayPal,1.0,4.6,240.24
60901,2024-05-03,5f2dc50c-ece4-46a6-8238-6c4495a2392d,Toys,Oceania,2,355.37,0.05,BankTransfer,3.0,2.9,675.2
90076,2024-05-26,accd128f-e6fb-4164-b2c1-d685a6437eee,Sports,Europe,3,490.17,0.0,Cash,7.0,4.8,1470.51
43892,2025-05-25,6db27777-5cf2-48a3-a0ee-4f3f7ea19fde,Electronics,Europe,4,83.28,0.0,PayPal,6.0,2.8,333.12
71683,2024-08-22,6a1a3778-d9fb-4d35-8a50-cf43cc58d6e7,Beauty,Europe,5,393.53,0.0,CreditCard,9.0,2.8,1967.65
97560,2025-06-01,d0703539-f85f-429e-9623-8684f6e16ffb,Sports,North America,3,242.53,0.1,CreditCard,8.0,2.8,654.83
39525,2023-06-11,452867e8-b6ca-4c64-8bb5-157230bc98b0,Fashion,Africa,2,209.07,0.0,BankTransfer,6.0,4.4,418.14
88944,2023-12-18,e08b02a5-35ac-4b95-a3eb-7abd39acc433,Automotive,Oceania,1,266.27,0.2,Cash,5.0,3.9,213.02
74053,2025-11-21,37c1e3b4-66e6-4521-93be-ae79820a816f,Fashion,Asia,3,32.80500000000001,0.05,PayPal,2.0,4.5,93.49
19243,2025-10-02,5e57d7f4-5c27-46b7-95e6-b91db27c7e0f,Automotive,Africa,4,469.49,0.1,BankTransfer,2.0,2.3,1690.16
42455,2024-10-22,9ee9aedc-741f-4e1d-8b5c-cc26488ae444,Fashion,North America,5,356.59,0.2,Cash,4.0,2.7,1426.36
30953,2025-10-24,0a9e10d3-626b-4a8a-bc81-8c96a916f073,Toys,Oceania,5,243.0,0.05,PayPal,5.0,3.2,1154.25
99912,2023-07-14,f2b973d1-1fad-4075-b768-7f27ff8b3b0a,Fashion,North America,2,195.59,0.0,PayPal,4.0,3.1,391.18
21593,2023-02-11,823e8c38-0f27-468f-9877-00c0920495bd,Electronics,Asia,5,131.87,0.0,BankTransfer,7.0,3.3,659.35
43660,2023-07-24,84b23ebc-a253-4d3d-9770-d58ebb32cbde,Automotive,Asia,3,112.33,0.05,BankTransfer,3.0,3.2,320.14
91066,2025-03-29,2800bf99-c0e9-4651-a060-f9156ed8d6a1,Sports,North America,3,172.81,0.15,Cash,4.0,2.9,440.67
17556,2025-02-24,5b868adc-0893-4949-8512-aa6e70172842,Sports,Asia,1,66.71,0.0,BankTransfer,6.0,3.1,66.71
